Date,Open,High,Low,Close,Adj Close,Volume
1984-09-25,0.0,10.78125,10.625,10.75,3.6875219345092773,102000
1984-09-26,0.0,10.8125,10.6875,10.75,3.6875219345092773,157600
1984-09-27,0.0,10.84375,10.78125,10.78125,3.6982390880584717,7600
1984-09-28,0.0,10.9375,10.84375,10.875,3.7303996086120605,26400
1984-10-01,0.0,10.90625,10.75,10.75,3.6875219345092773,21600
1984-10-02,0.0,10.625,10.625,10.625,3.644643545150757,32800
1984-10-03,0.0,10.5625,10.53125,10.5625,3.6232035160064697,11200
1984-10-04,0.0,10.59375,10.5,10.5,3.601764678955078,47200
1984-10-05,0.0,10.5625,10.25,10.25,3.5160067081451416,20000
1984-10-08,0.0,10.25,10.1875,10.1875,3.494568109512329,6400
1984-10-09,0.0,10.1875,10.0,10.0,3.430253267288208,30000
1984-10-10,0.0,9.9375,9.8125,9.875,3.387375831604004,14000
1984-10-11,0.0,9.875,9.8125,9.875,3.387375831604004,9600
1984-10-12,0.0,10.0,9.875,10.0,3.430253267288208,89200
1984-10-15,0.0,10.0,9.8125,9.9375,3.408813238143921,23600
1984-10-16,0.0,9.9375,9.75,9.8125,3.3659327030181885,17600
1984-10-17,0.0,9.8125,9.75,9.8125,3.3659327030181885,18400
1984-10-18,0.0,9.75,9.65625,9.75,3.3444952964782715,34800
1984-10-19,0.0,9.875,9.625,9.625,3.301616668701172,65200
1984-10-22,0.0,9.625,9.5,9.5625,3.280177354812622,120000
1984-10-23,0.0,9.78125,9.625,9.78125,3.355215311050415,28800
1984-10-24,0.0,9.90625,9.8125,9.90625,3.3980939388275146,20800
1984-10-25,0.0,9.84375,9.78125,9.8125,3.3659327030181885,14000
1984-10-26,0.0,9.78125,9.65625,9.65625,3.3123373985290527,17200
1984-10-29,0.0,9.65625,9.5625,9.5625,3.280177354812622,10000
1984-10-30,0.0,9.5,9.5,9.5,3.258739709854126,156000
1984-10-31,0.0,9.625,9.5,9.625,3.301616668701172,305600
1984-11-01,0.0,9.6875,9.625,9.65625,3.3123373985290527,76400
1984-11-02,0.0,9.75,9.625,9.75,3.3444952964782715,48400
1984-11-05,0.0,9.9375,9.75,9.9375,3.408813238143921,32400
1984-11-06,0.0,10.09375,9.9375,10.09375,3.4624125957489014,9600
1984-11-07,0.0,10.15625,10.0625,10.15625,3.4838485717773438,174000
1984-11-08,0.0,10.125,10.0,10.0,3.430253267288208,38400
1984-11-09,0.0,9.90625,9.875,9.875,3.387375831604004,26400
1984-11-12,0.0,9.9375,9.6875,9.75,3.3444952964782715,338000
1984-11-13,0.0,9.75,9.75,9.75,3.3444952964782715,49600
1984-11-14,0.0,9.75,9.59375,9.75,3.3444952964782715,92400
1984-11-15,0.0,9.8125,9.625,9.8125,3.3659327030181885,34800
1984-11-16,0.0,9.78125,9.625,9.6875,3.3230552673339844,18800
1984-11-19,0.0,9.8125,9.59375,9.59375,3.2908992767333984,57200
1984-11-20,0.0,9.6875,9.5625,9.5625,3.280177354812622,19200
1984-11-21,0.0,9.8125,9.5625,9.8125,3.3659327030181885,32400
1984-11-23,0.0,9.9375,9.75,9.9375,3.408813238143921,62400
1984-11-26,0.0,10.0625,9.90625,10.0625,3.451690912246704,34800
1984-11-27,0.0,10.0625,9.875,9.96875,3.4195308685302734,34400
1984-11-28,0.0,10.0,9.9375,9.96875,3.4195308685302734,34000
1984-11-29,0.0,9.9375,9.75,9.75,3.3444952964782715,28400
1984-11-30,0.0,9.875,9.78125,9.78125,3.355215311050415,39200
1984-12-03,0.0,9.78125,9.65625,9.65625,3.3123373985290527,17600
1984-12-04,0.0,9.6875,9.59375,9.6875,3.3230552673339844,37200
1984-12-05,0.0,9.75,9.625,9.625,3.301616668701172,36000
1984-12-06,0.0,9.75,9.625,9.6875,3.3230552673339844,38000
1984-12-07,0.0,9.6875,9.625,9.6875,3.3230552673339844,54400
1984-12-10,0.0,9.59375,9.5,9.5625,3.280177354812622,61600
1984-12-11,0.0,9.5625,9.1875,9.28125,3.1837027072906494,183600
1984-12-12,0.0,9.25,9.1875,9.1875,3.151543140411377,130000
1984-12-13,0.0,9.25,9.1875,9.21875,3.1622636318206787,20800
1984-12-14,0.0,9.3125,9.15625,9.25,3.1729836463928223,20000
1984-12-17,0.0,9.3125,9.1875,9.3125,3.194422960281372,65600
1984-12-18,0.0,9.5625,9.3125,9.5625,3.280177354812622,70000
1984-12-19,0.0,9.8125,9.625,9.8125,3.3659327030181885,43200
1984-12-20,0.0,9.875,9.75,9.8125,3.3659327030181885,16800
1984-12-21,0.0,10.0,9.8125,9.9375,3.408813238143921,26000
1984-12-24,0.0,9.96875,9.9375,9.9375,3.408813238143921,4400
1984-12-26,0.0,10.0,9.90625,10.0,3.430253267288208,22400
1984-12-27,0.0,10.0,9.8125,9.875,3.387375831604004,76000
1984-12-28,0.0,9.9375,9.875,9.9375,3.408813238143921,25600
1984-12-31,0.0,10.0,9.84375,10.0,3.430253267288208,28800
1985-01-02,0.0,10.0,9.875,9.875,3.387375831604004,36800
1985-01-03,0.0,9.90625,9.8125,9.8125,3.3659327030181885,48000
1985-01-04,0.0,9.9375,9.8125,9.84375,3.376657247543335,21600
1985-01-07,0.0,9.8125,9.8125,9.8125,3.3659327030181885,26400
