Date,Open,High,Low,Close,Adj Close,Volume
1991-11-15,9.0,9.1875,9.0,9.0,4.083721160888672,6093400
1991-11-18,9.0,9.0,8.75,9.0,4.083721160888672,811800
1991-11-19,8.875,8.875,8.6875,8.8125,3.998642921447754,235000
1991-11-20,8.875,8.875,8.6875,8.875,4.02700138092041,209200
1991-11-21,8.8125,8.875,8.75,8.875,4.02700138092041,170000
1991-11-22,8.8125,8.875,8.75,8.875,4.02700138092041,94800
1991-11-25,8.875,8.875,8.75,8.875,4.02700138092041,60400
1991-11-26,8.8125,8.875,8.75,8.875,4.02700138092041,325400
1991-11-27,8.75,8.875,8.75,8.875,4.02700138092041,40800
1991-11-29,8.75,8.875,8.75,8.875,4.02700138092041,58200
1991-12-02,8.75,8.875,8.75,8.875,4.02700138092041,103800
1991-12-03,8.75,8.875,8.75,8.875,4.02700138092041,84600
1991-12-04,8.875,8.875,8.75,8.875,4.02700138092041,134000
1991-12-05,8.8125,8.9375,8.8125,8.875,4.02700138092041,156000
1991-12-06,8.6875,8.75,8.6875,8.75,3.970283269882202,114800
1991-12-09,8.6875,8.75,8.6875,8.75,3.970283269882202,113400
1991-12-10,8.6875,8.75,8.6875,8.75,3.970283269882202,162000
1991-12-11,8.75,8.75,8.6875,8.75,3.970283269882202,103000
1991-12-12,8.75,8.9375,8.75,8.9375,4.055362224578857,153400
1991-12-13,8.9375,9.0,8.875,9.0,4.083721160888672,112800
1991-12-16,9.0,9.0,9.0,9.0,4.083721160888672,158000
1991-12-17,9.0,9.0,8.9375,8.9375,4.055362224578857,50600
1991-12-18,8.9375,9.0,8.9375,8.9375,4.055362224578857,21000
1991-12-19,8.9375,9.0625,8.9375,9.0,4.083721160888672,59000
1991-12-20,9.0,9.0,9.0,9.0,4.083721160888672,46800
1991-12-23,9.0,9.0625,9.0,9.0625,4.112078666687012,123600
1991-12-24,9.125,9.25,9.125,9.25,4.1971588134765625,12000
1991-12-26,9.375,10.0625,9.375,10.0625,4.565824508666992,137400
1991-12-27,10.1875,10.25,10.0,10.125,4.5941853523254395,55600
1991-12-30,10.1875,10.25,10.0,10.0,4.5374650955200195,217400
1991-12-31,10.1875,11.125,10.1875,11.125,5.047930717468262,164800
1992-01-02,11.0,11.125,11.0,11.0,4.991213798522949,141600
1992-01-03,10.875,10.9375,10.8125,10.875,4.934495449066162,21800
1992-01-06,10.75,10.8125,10.6875,10.75,4.8777756690979,43200
1992-01-07,10.625,10.625,10.5,10.625,4.821060657501221,86400
1992-01-08,10.5,10.625,10.5,10.625,4.821060657501221,342000
1992-01-09,10.625,10.9375,10.625,10.8125,4.9061360359191895,211800
1992-01-10,10.875,10.875,10.6875,10.75,4.8777756690979,72600
1992-01-13,10.625,10.625,10.5,10.5,4.764340877532959,16600
1992-01-14,10.5,10.625,10.5,10.625,4.821060657501221,162600
1992-01-15,10.625,10.75,10.625,10.625,4.821060657501221,39800
1992-01-16,10.625,10.75,10.625,10.75,4.8777756690979,39400
1992-01-17,10.75,10.875,10.75,10.875,4.934495449066162,159000
1992-01-20,10.9375,10.9375,10.9375,10.9375,4.962853908538818,13600
1992-01-21,11.125,11.625,11.0,11.0,4.991213798522949,441800
1992-01-22,11.0625,11.3125,11.0625,11.3125,5.13300895690918,162000
1992-01-23,11.25,11.4375,11.25,11.4375,5.189725399017334,89000
1992-01-24,11.4375,11.4375,11.1875,11.25,5.104650020599365,59200
1992-01-27,11.3125,11.3125,11.0,11.125,5.047930717468262,156000
1992-01-28,11.125,11.125,10.9375,11.0,4.991213798522949,153800
1992-01-29,11.0,11.0,10.75,10.75,4.8777756690979,189200
1992-01-30,10.8125,10.8125,10.625,10.625,4.821060657501221,84200
1992-01-31,10.625,10.625,10.625,10.625,4.821060657501221,10400
1992-02-03,10.625,10.6875,10.625,10.6875,4.849417686462402,247200
1992-02-04,10.6875,10.8125,10.6875,10.75,4.8777756690979,105800
