Date,Open,High,Low,Close,Adj Close,Volume
1997-10-20,34.4375,35.0,34.4375,34.625,7.333613872528076,2520200
1997-10-21,35.0625,35.5,34.8125,35.0625,7.4262776374816895,968000
1997-10-22,35.3125,35.375,35.125,35.3125,7.479227542877197,670400
1997-10-23,34.125,35.0,34.125,34.5625,7.320377349853516,494000
1997-10-24,34.75,34.8125,34.1875,34.25,7.254189491271973,518500
1997-10-27,34.4375,34.5625,33.0,33.0,6.989438056945801,573500
1997-10-28,32.625,34.6875,32.625,34.6875,7.346853733062744,585300
1997-10-29,35.0625,35.5,35.0625,35.125,7.439514636993408,338800
1997-10-30,35.5625,36.4375,35.5625,36.125,7.651318073272705,328400
1997-10-31,37.4375,38.0,37.3125,37.875,8.021968841552734,151000
1997-11-03,37.5,37.625,37.125,37.4375,7.929305076599121,57400
1997-11-04,37.625,38.125,37.625,38.125,8.074919700622559,48400
1997-11-05,37.5625,37.75,37.375,37.4375,7.929305076599121,239500
1997-11-06,37.5625,37.6875,37.5625,37.625,7.9690165519714355,85300
1997-11-07,37.375,37.375,36.0,36.0,7.624841690063477,235100
1997-11-10,36.3125,36.4375,36.0625,36.25,7.67779016494751,11100
1997-11-11,36.125,36.4375,36.0625,36.125,7.651318073272705,34000
1997-11-12,35.75,36.4375,35.5625,35.75,7.571891784667969,280100
1997-11-13,36.375,36.625,35.6875,36.25,7.67779016494751,237700
1997-11-14,37.0625,37.3125,36.75,37.0,7.83664083480835,350600
1997-11-17,37.25,37.25,36.9375,37.0,7.83664083480835,233600
1997-11-18,37.0,37.25,36.8125,36.9375,7.823403835296631,32600
1997-11-19,37.125,37.4375,37.0625,37.4375,7.929305076599121,278900
1997-11-20,37.5,37.6875,37.375,37.5,7.942542552947998,81100
1997-11-21,37.0,37.25,36.75,37.125,7.863119125366211,148400
1997-11-24,36.8125,36.8125,36.0,36.0625,7.6380767822265625,14300
1997-11-25,36.1875,36.25,35.75,35.75,7.571891784667969,7400
1997-11-26,36.125,36.5,36.125,36.3125,7.6910295486450195,4400
1997-11-28,36.25,36.5,36.25,36.25,7.67779016494751,13200
1997-12-01,36.25,36.5625,36.125,36.5625,7.743978023529053,23800
1997-12-02,36.6875,36.6875,36.25,36.375,7.704265117645264,25100
1997-12-03,36.625,36.625,36.3125,36.3125,7.6910295486450195,7000
1997-12-04,36.3125,36.625,36.3125,36.5,7.730739593505859,111100
1997-12-05,36.5,36.5,36.125,36.125,7.651318073272705,2400
