Date,Open,High,Low,Close,Adj Close,Volume
1998-03-05,35.0,36.25,34.0625,34.375,28.291858673095703,15460
1998-03-06,35.3125,35.3125,34.0625,34.6875,28.54906463623047,14660
1998-03-09,35.0,35.0,33.4375,34.375,28.291858673095703,24600
1998-03-10,35.0,38.75,34.6875,36.875,30.349451065063477,55880
1998-03-11,37.1875,39.6875,36.875,39.375,32.407039642333984,73820
1998-03-12,40.0,41.875,38.75,39.375,32.407039642333984,50580
1998-03-13,39.375,40.625,39.0625,40.0,32.921443939208984,40580
1998-03-16,40.0,43.4375,39.375,41.875,34.464630126953125,65140
1998-03-17,41.875,43.4375,39.375,40.625,33.43584060668945,52220
1998-03-18,40.9375,40.9375,39.375,40.3125,33.17863845825195,20880
1998-03-19,40.625,40.625,39.375,40.3125,33.17863845825195,32080
1998-03-20,40.625,40.625,40.0,40.0,32.921443939208984,12380
1998-03-23,40.0,40.625,39.375,40.3125,33.17863845825195,25880
1998-03-24,39.375,40.3125,38.125,40.0,32.921443939208984,29940
1998-03-25,39.375,40.3125,39.0625,40.0,32.921443939208984,21420
1998-03-26,39.0625,40.0,38.4375,39.0625,32.149845123291016,14100
1998-03-27,38.4375,39.375,38.4375,39.0625,32.149845123291016,5000
1998-03-30,39.375,41.5625,38.75,39.375,32.407039642333984,27280
1998-03-31,39.6875,40.625,38.75,40.625,33.43584060668945,33120
1998-04-01,39.375,41.875,39.375,41.25,33.95023727416992,20940
1998-04-02,41.875,41.875,40.625,41.875,34.464630126953125,16700
1998-04-03,41.5625,45.9375,41.5625,43.75,36.00782775878906,69880
1998-04-06,45.0,46.875,43.4375,44.0625,36.26502990722656,70680
1998-04-07,43.75,45.0,41.875,43.125,35.49342727661133,47780
1998-04-08,43.125,45.625,42.8125,45.0,37.03662109375,39200
1998-04-09,45.0,46.25,44.0625,45.3125,37.293819427490234,50840
1998-04-13,45.0,45.0,40.0,40.3125,33.17863845825195,42480
1998-04-14,40.9375,42.8125,40.625,42.5,34.979034423828125,27720
1998-04-15,42.5,43.75,42.5,43.75,36.00782775878906,21820
1998-04-16,43.4375,45.3125,43.125,45.0,37.03662109375,34840
1998-04-17,45.0,47.1875,44.0625,44.0625,36.26502990722656,58460
1998-04-20,44.6875,46.875,43.75,45.625,37.5510139465332,59200
1998-04-21,46.25,46.5625,45.0,46.25,38.0654182434082,63000
1998-04-22,46.5625,47.1875,45.0,47.1875,38.83700942993164,44540
1998-04-23,46.25,47.5,44.375,45.3125,37.293819427490234,53820
1998-04-24,45.625,45.9375,43.4375,44.0625,36.26502990722656,29180
1998-04-27,42.5,44.375,40.625,44.0625,36.26502990722656,30720
1998-04-28,44.0625,45.9375,44.0625,44.6875,36.779422760009766,17940
1998-04-29,45.0,45.625,43.75,45.0,37.03662109375,41320
1998-04-30,45.0,45.625,44.375,45.0,37.03662109375,18580
1998-05-01,45.625,46.25,45.0,45.625,37.5510139465332,21440
1998-05-04,46.25,46.25,45.0,45.3125,37.293819427490234,35160
1998-05-05,45.0,46.25,45.0,46.25,38.0654182434082,30580
1998-05-06,45.625,46.25,45.0,45.0,37.03662109375,23860
1998-05-07,45.0,45.9375,43.75,43.75,36.00782775878906,16380
1998-05-08,45.0,45.0,43.125,44.6875,36.779422760009766,17880
1998-05-11,45.0,46.5625,42.5,43.125,35.49342727661133,59280
1998-05-12,43.75,44.6875,42.8125,42.8125,35.23622512817383,17920
1998-05-13,42.8125,44.375,40.625,40.625,33.43584060668945,17180
1998-05-14,40.625,42.5,40.0,41.875,34.464630126953125,19520
1998-05-15,41.875,42.5,40.625,40.9375,33.69303512573242,12560
1998-05-18,40.9375,43.125,39.375,40.0,32.921443939208984,20580
1998-05-19,40.625,41.25,38.75,40.625,33.43584060668945,19340
1998-05-20,41.25,42.8125,39.375,42.8125,35.23622512817383,11300
1998-05-21,43.125,45.0,42.8125,43.75,36.00782775878906,54840
1998-05-22,43.75,45.0,42.8125,42.8125,35.23622512817383,32400
1998-05-26,44.0625,44.0625,40.0,40.625,33.43584060668945,39520
1998-05-27,40.3125,40.3125,38.4375,40.0,32.921443939208984,24740
1998-05-28,39.6875,41.25,39.375,41.25,33.95023727416992,22060
1998-05-29,41.25,41.875,40.625,41.25,33.95023727416992,9420
1998-06-01,42.5,42.5,40.0,41.09375,33.82163619995117,8620
1998-06-02,40.0,41.25,38.75,39.375,32.407039642333984,12800
1998-06-03,40.0,40.0,37.5,38.4375,31.63545036315918,16800
1998-06-04,39.375,39.375,38.125,38.125,31.37824821472168,6340
1998-06-05,38.125,40.0,38.125,40.0,32.921443939208984,5840
1998-06-08,40.0,40.0,38.515625,38.515625,31.699748992919922,57560
1998-06-09,39.375,39.375,37.5,39.0625,32.149845123291016,17720
1998-06-10,38.75,39.375,37.5,38.75,31.892641067504883,14620
1998-06-11,37.5,39.0625,36.875,37.5,30.863847732543945,9780
1998-06-12,36.875,37.5,35.0,36.875,30.349451065063477,12860
1998-06-15,36.875,36.875,34.375,34.375,28.291858673095703,13580
1998-06-16,36.875,37.5,35.0,35.3125,29.063457489013672,14300
1998-06-17,35.9375,36.5625,35.0,35.3125,29.063457489013672,13560
1998-06-18,35.625,35.9375,35.0,35.3125,29.063457489013672,7440
1998-06-19,35.0,36.875,35.0,35.625,29.32065200805664,9960
1998-06-22,35.625,37.5,34.375,35.0,28.806257247924805,11220
1998-06-23,34.6875,36.25,34.375,35.0,28.806257247924805,22420
1998-06-24,34.375,35.3125,33.75,34.375,28.291858673095703,23160
1998-06-25,35.0,35.3125,31.875,32.1875,26.491472244262695,25360
1998-06-26,33.75,35.0,32.5,35.0,28.806257247924805,29400
1998-06-29,35.0,35.0,34.0625,34.6875,28.54906463623047,11240
1998-06-30,34.6875,35.9375,34.375,35.3125,29.063457489013672,35440
1998-07-01,35.625,35.625,34.375,35.0,28.806257247924805,7300
1998-07-02,34.0625,35.0,33.75,34.375,28.291858673095703,25120
1998-07-06,34.0625,35.625,34.0625,35.3125,29.063457489013672,38320
1998-07-07,35.9375,40.0,35.0,40.0,32.921443939208984,97000
1998-07-08,39.6875,41.5625,39.375,39.375,32.407039642333984,37640
1998-07-09,39.375,40.625,39.375,40.0,32.921443939208984,48140
1998-07-10,40.625,40.625,39.375,40.0,32.921443939208984,11500
1998-07-13,39.375,41.25,39.375,40.3125,33.17863845825195,30860
1998-07-14,40.0,40.625,40.0,40.3125,33.17863845825195,10580
1998-07-15,40.625,40.9375,40.0,40.625,33.43584060668945,35780
1998-07-16,41.25,41.25,39.6875,39.6875,32.664241790771484,13660
1998-07-17,40.0,40.0,39.6875,39.6875,32.664241790771484,9380
1998-07-20,40.0,40.0,39.6875,40.0,32.921443939208984,8840
1998-07-21,39.6875,40.0,35.0,36.25,29.835054397583008,62860
1998-07-22,36.25,37.5,35.0,36.5625,30.092248916625977,7420
1998-07-23,35.625,36.5625,35.0,35.9375,29.57785415649414,11000
1998-07-24,35.0,36.5625,35.0,35.3125,29.063457489013672,43180
1998-07-27,35.0,35.625,35.0,35.0,28.806257247924805,20800
1998-07-28,35.0,35.625,35.0,35.0,28.806257247924805,53240
1998-07-29,35.0,35.46875,32.5,33.75,27.7774658203125,60080
1998-07-30,34.375,34.375,33.75,33.75,27.7774658203125,20400
1998-07-31,34.0625,34.0625,33.75,33.75,27.7774658203125,43380
1998-08-03,34.0625,34.0625,32.5,34.0625,28.0346622467041,98780
1998-08-04,34.0625,34.0625,32.5,32.5,26.74867057800293,29840
1998-08-05,32.8125,32.8125,30.9375,31.25,25.719877243041992,37040
1998-08-06,31.5625,31.5625,31.25,31.5625,25.97707176208496,23700
1998-08-07,31.25,31.5625,31.25,31.25,25.719877243041992,14520
1998-08-10,31.25,32.5,31.25,32.5,26.74867057800293,13000
1998-08-11,31.25,32.03125,30.9375,30.9375,25.462677001953125,17580
1998-08-12,31.5625,31.5625,30.625,30.9375,25.462677001953125,16320
1998-08-13,32.5,32.5,30.9375,31.875,26.234270095825195,16080
1998-08-14,31.25,31.875,30.9375,31.25,25.719877243041992,12760
1998-08-17,31.875,31.875,31.25,31.5625,25.97707176208496,7220
1998-08-18,31.5625,33.75,31.5625,32.1875,26.491472244262695,19840
1998-08-19,32.5,33.75,31.5625,31.875,26.234270095825195,16200
1998-08-20,31.875,31.875,31.5625,31.5625,25.97707176208496,10160
1998-08-21,31.5625,31.875,30.9375,31.25,25.719877243041992,17480
1998-08-24,31.25,31.875,31.25,31.25,25.719877243041992,7640
1998-08-25,31.875,32.5,31.25,31.5625,25.97707176208496,31420
1998-08-26,31.25,31.5625,30.625,31.25,25.719877243041992,27800
1998-08-27,30.625,30.9375,27.5,27.8125,22.89069175720215,67680
1998-08-28,28.4375,28.75,26.25,27.5,22.63348960876465,38080
1998-08-31,29.375,29.6875,24.6875,25.0,20.575902938842773,47560
1998-09-01,25.0,25.9375,20.625,23.75,19.547101974487305,69520
1998-09-02,24.0625,25.0,23.75,24.0625,19.804302215576172,35840
1998-09-03,24.6875,27.1875,23.125,25.625,21.090295791625977,47540
1998-09-04,25.625,26.25,25.3125,25.625,21.090295791625977,37100
1998-09-08,25.9375,28.4375,25.625,27.5,22.63348960876465,21820
