Date,Open,High,Low,Close,Adj Close,Volume
1996-08-30,4.84375,4.84375,4.8125,4.8125,1.6133241653442383,46800
1996-09-03,4.75,4.75,4.71875,4.75,1.5923720598220825,20000
1996-09-04,4.78125,4.78125,4.78125,4.78125,1.6028485298156738,2000
1996-09-05,4.78125,4.78125,4.71875,4.71875,1.5818954706192017,24800
1996-09-06,4.75,4.78125,4.75,4.75,1.5923720598220825,9600
1996-09-09,4.78125,4.78125,4.78125,4.78125,1.6028485298156738,2000
1996-09-10,4.78125,4.78125,4.78125,4.78125,1.6028485298156738,400
1996-09-11,4.78125,4.84375,4.78125,4.84375,1.6238000392913818,30000
1996-09-12,4.875,4.9375,4.875,4.9375,1.6552284955978394,154400
1996-09-13,4.9375,5.03125,4.9375,5.03125,1.6866576671600342,220400
1996-09-16,5.03125,5.0625,5.03125,5.03125,1.6866576671600342,85600
1996-09-17,5.0625,5.0625,5.0,5.03125,1.6866576671600342,18400
1996-09-18,5.03125,5.09375,5.03125,5.09375,1.707610011100769,24800
1996-09-19,5.125,5.15625,5.09375,5.15625,1.7285614013671875,187600
1996-09-20,5.21875,5.28125,5.1875,5.28125,1.770465612411499,148400
1996-09-23,5.28125,5.28125,5.28125,5.28125,1.770465612411499,67600
1996-09-24,5.28125,5.375,5.28125,5.34375,1.7914177179336548,93600
1996-09-25,5.34375,5.34375,5.34375,5.34375,1.7914177179336548,36800
1996-09-26,5.3125,5.34375,5.09375,5.09375,1.707610011100769,79200
1996-09-27,5.125,5.125,4.9375,5.0625,1.6971337795257568,66400
1996-09-30,5.0625,5.09375,5.0625,5.09375,1.707610011100769,15200
1996-10-01,5.09375,5.09375,5.0625,5.09375,1.707610011100769,363200
1996-10-02,5.15625,5.28125,5.15625,5.28125,1.770465612411499,239200
1996-10-03,5.28125,5.3125,5.25,5.3125,1.780942440032959,104000
1996-10-04,5.34375,5.4375,5.34375,5.4375,1.822846531867981,135600
1996-10-07,5.5,5.5625,5.5,5.5,1.8437994718551636,62800
1996-10-08,5.5,5.5625,5.5,5.53125,1.8542755842208862,112000
1996-10-09,5.53125,5.53125,5.5,5.5,1.8437994718551636,35600
1996-10-10,5.46875,5.5625,5.46875,5.53125,1.8755894899368286,172800
1996-10-11,5.5625,5.625,5.5625,5.625,1.90737783908844,31200
1996-10-14,5.625,5.6875,5.625,5.6875,1.928571105003357,30400
1996-10-15,5.75,5.75,5.53125,5.5625,1.8861852884292603,126400
1996-10-16,5.53125,5.5625,5.46875,5.53125,1.8755894899368286,73600
1996-10-17,5.53125,5.5625,5.5,5.5625,1.8861852884292603,130400
1996-10-18,5.5625,5.6875,5.53125,5.65625,1.917975664138794,124400
1996-10-21,5.625,5.71875,5.625,5.71875,1.9391679763793945,209600
1996-10-22,5.71875,5.84375,5.6875,5.75,1.9497642517089844,344400
1996-10-23,5.78125,5.78125,5.6875,5.78125,1.9603620767593384,598000
1996-10-24,5.78125,5.8125,5.75,5.75,1.9497642517089844,298800
1996-10-25,5.78125,5.8125,5.75,5.78125,1.9603620767593384,77600
1996-10-28,5.78125,5.84375,5.75,5.75,1.9497642517089844,105200
1996-10-29,5.78125,5.8125,5.75,5.78125,1.9603620767593384,565600
1996-10-30,5.78125,5.8125,5.75,5.78125,1.9603620767593384,121600
1996-10-31,5.78125,5.84375,5.78125,5.84375,1.9815540313720703,36400
1996-11-01,5.84375,6.03125,5.84375,6.0,2.034536361694336,536400
1996-11-04,6.03125,6.21875,6.03125,6.21875,2.108712911605835,152000
1996-11-05,6.375,6.5625,6.3125,6.46875,2.1934854984283447,699200
1996-11-06,6.46875,6.75,6.46875,6.65625,2.2570648193359375,490000
1996-11-07,6.65625,6.65625,6.46875,6.5,2.2040817737579346,314400
